iter	RMSE
0	505.7347982
1	494.7912559
2	483.6435114
3	472.6968032
4	462.4484722
5	452.3410748
6	442.9689417
7	433.1677976
8	423.7706226
9	414.9681419
10	406.0336172
11	397.4221669
12	389.3743007
13	381.2461318
14	373.5822972
15	365.8585473
16	358.9441098
17	352.0046025
18	345.1102994
19	338.3605121
20	331.7489402
21	325.326102
22	319.4011052
23	313.6458344
24	307.8565566
25	302.7331043
26	297.3409221
27	291.9839991
28	287.3858091
29	282.6144123
30	278.1459144
31	273.7981329
32	269.6052627
33	265.4396688
34	261.5015228
35	257.6551833
36	253.8554007
37	250.4794882
38	246.8087281
39	243.1846673
40	239.821003
41	236.5017148
42	233.4077076
43	230.4559311
44	227.3671025
45	224.3704277
46	221.8560622
47	219.0571961
48	216.5005044
49	214.1198858
50	211.7090609
51	209.2021626
52	206.9152881
53	204.7658573
54	202.5552123
55	200.5893861
56	198.8171423
57	196.8781881
58	195.006115
59	193.2227532
60	191.3168906
61	189.9243952
62	188.2945593
63	186.5911343
64	184.9598545
65	183.4452497
66	182.0485336
67	180.7740349
68	179.4117909
69	177.9932318
70	176.5312264
71	175.5496923
72	174.3600608
73	173.211804
74	172.1882559
75	170.9314621
76	169.8519035
77	168.8112853
78	167.9067169
79	166.870454
80	165.7784822
81	164.7752457
82	163.996685
83	163.0593298
84	162.0749411
85	161.3442974
86	160.4541285
87	159.8044201
88	158.9904272
89	158.2884627
90	157.6197966
91	156.8511304
92	156.2546202
93	155.5300552
94	154.7605536
95	154.0445524
96	153.3288402
97	152.5869884
98	151.8729476
99	151.4593319
100	150.8455504
101	150.3300104
102	149.8256499
103	149.3641312
104	148.9256486
105	148.3923735
106	148.0522098
107	147.6403256
108	147.2684774
109	146.8985076
110	146.4966024
111	146.099349
112	145.8144778
113	145.5271367
114	145.2689071
115	145.0901368
116	144.8535782
117	144.4960834
118	144.2456937
119	143.9072329
120	143.5608702
121	143.3141133
122	142.9029906
123	142.6619993
124	142.5011128
125	142.2814366
126	142.0662149
127	141.7372459
128	141.4849621
129	141.2909463
130	141.0806879
131	140.8707845
132	140.7030478
133	140.481966
134	140.3188789
135	140.0808051
