iter	Passed	Remaining
0	12	12356
1	18	9041
2	24	8211
3	30	7695
4	37	7513
5	54	8955
6	64	9180
7	72	9000
8	80	8902
9	89	8849
10	95	8586
11	101	8390
12	110	8374
13	113	7979
14	116	7626
15	122	7523
16	125	7240
17	128	6983
18	130	6759
19	134	6567
20	136	6386
21	140	6243
22	143	6089
23	146	5949
24	149	5824
25	152	5723
26	155	5607
27	158	5516
28	161	5416
29	164	5333
30	167	5242
31	170	5164
32	173	5094
33	176	5021
34	181	4991
35	184	4942
36	187	4880
37	190	4818
38	193	4760
39	196	4724
40	200	4682
41	206	4704
42	212	4739
43	219	4762
44	224	4769
45	232	4822
46	241	4896
47	247	4906
48	253	4915
49	259	4936
50	273	5084
51	280	5111
52	286	5116
53	294	5167
54	299	5139
55	301	5088
56	304	5044
57	309	5022
58	316	5050
59	322	5057
60	325	5017
61	329	4980
62	332	4947
63	335	4909
64	339	4880
65	342	4844
66	345	4805
67	348	4778
68	351	4742
69	354	4712
70	357	4680
71	360	4648
72	363	4622
73	367	4595
74	370	4569
75	373	4539
76	376	4509
77	379	4480
78	383	4467
79	388	4471
80	394	4473
81	417	4678
82	442	4886
83	456	4983
84	469	5058
85	475	5055
86	484	5079
87	493	5118
88	501	5131
89	506	5125
90	512	5118
91	518	5114
92	523	5103
93	528	5095
94	533	5082
95	538	5070
96	541	5039
97	544	5008
98	547	4980
99	550	4957
100	553	4928
101	556	4900
102	559	4874
103	565	4867
104	570	4862
105	574	4848
106	582	4857
107	584	4829
108	587	4802
109	590	4775
110	593	4755
111	596	4731
112	600	4709
113	602	4685
114	606	4665
115	609	4645
116	617	4662
117	624	4670
118	631	4671
119	638	4678
120	643	4674
121	649	4677
122	658	4692
123	679	4800
124	698	4889
125	705	4891
126	712	4897
127	727	4955
128	735	4966
129	756	5062
130	769	5107
131	774	5095
132	807	5262
133	822	5318
134	840	5385
135	856	5440
136	869	5478
137	880	5502
138	883	5473
139	888	5454
140	893	5440
141	909	5496
142	928	5563
143	974	5790
144	1001	5907
145	1010	5913
146	1023	5936
147	1033	5947
148	1046	5977
149	1054	5973
150	1058	5949
151	1060	5918
152	1064	5891
153	1067	5864
154	1074	5857
155	1079	5840
156	1084	5821
157	1089	5807
158	1107	5857
159	1113	5845
160	1120	5840
161	1124	5816
162	1128	5795
